ㄧ,一
ㄕㄨ,樞
ㄅㄧㄠ,標
ㄧㄡˇ,槱
ㄇㄢˊ,樠
ㄘㄨˋ,槭
ㄇㄢˊ,槾
ㄇㄛˊ,模
ㄈㄢˊ,樊
ㄙㄢˇ,槮
1.ㄘㄨㄥ2.ㄗㄨㄥ,樅
ㄔㄠˊ,樔
1.ㄩㄝˋ2.ㄌㄜˋ3.ㄧㄠˋ,樂
ㄒㄧ,橀
1.ㄊㄨㄥˊ2.ㄔㄨㄤˊ,橦
ㄓˊ,樴
ㄌㄧㄣˋ,橉
ㄗㄥ,橧
ㄔㄥˊ,橙
ㄙㄨˋ,橚
ㄋㄠˊ,橈
ㄊㄢˊ,橝
ㄈㄣˊ,橨
ㄎㄨ,橭
1.ㄏㄥˊ2.ㄏㄥˋ,橫
ㄐㄩㄝˊ,橛
ㄌㄠˇ,橑
ㄕㄢˋ,樿
ㄏㄨㄚˋ,樺
ㄆㄨˊ,樸
ㄖㄢˇ,橪
ㄑㄧㄠ,橇
ㄑㄧㄠˊ,橋
ㄒㄧ,樨
ㄐㄧˋ,檕
ㄧˇ,檥
ㄉㄤˇ,檔
ㄙㄡˇ,橾
ㄓㄜˊ,檡
ㄉㄢˋ＊ㄧㄢˊ,檐
ㄗㄨㄟˋ,檇
ㄎㄨㄞˋ,檜
ㄑㄧㄥˊ,檠
ㄐㄧㄝˊ,櫛
ㄅㄧㄣ,檳
1.ㄐㄧㄢˋ2.ㄎㄢˇ,檻
ㄓㄨㄛˊ,櫡
ㄓㄨㄛˊ＊ㄓㄠˋ,櫂
ㄌㄟˊ,櫑
1.ㄌㄧˋ2.ㄩㄝˋ,櫟
ㄏㄨㄞˊ,櫰
ㄋㄧㄝˋ,櫱
ㄌㄢˊ,欄
ㄅㄛˊ,欂
ㄐㄧㄢ,櫼
ㄌㄧˋ,欐
ㄓㄨˊ,欘
ㄘˋ,次
ㄒㄩ,欨
ㄎㄞˋ,欬
ㄕㄨㄛˋ,欶
ㄒㄧ＊ㄎㄜˊ,欷
1.ㄞˇ2.ㄟˋ,欸
ㄏㄨ,欻
ㄑㄧ＊ㄧ,欹
ㄑㄧㄣ,欽
ㄎㄢˇ,欿
ㄧㄣ,歅
ㄔㄨㄢˇ,歂
ㄑㄧㄢˋ,歉
ㄡ,歐
1.ㄒㄧˋ2.ㄕㄜˋ,歙
ㄆㄣ,歕
ㄩˊ,歟
1.ㄓㄥˋ2.ㄓㄥ,正
ㄨˇ,武
1.ㄨㄞ2.ㄨㄞˇ,歪
ㄓˋ,歭
ㄍㄨㄟ＊ㄎㄨㄟˋ,歸
ㄉㄞˇ,歹
ㄇㄛˋ＊ㄨㄣˇ,歾
ㄑㄧㄥˊ,殑
ㄆㄧㄠˇ,殍
ㄧㄝˋ,殗
ㄏㄨㄣ,殙
ㄨㄣ,殟
ㄔㄡˋ,殠
ㄐㄧㄣˇ,殣
ㄊㄧˋ,殢
1.ㄧㄣ2.ㄧㄢ3.ㄧㄣˇ,殷
1.ㄕㄚ2.ㄕㄞˋ,殺
ㄎㄜˊ,殼
ㄧㄠˊ,殽
ㄑㄧㄠ,毃
ㄐㄧˊ,毄
ㄡ＊ㄑㄩ,毆
ㄏㄨㄟˇ,毇
ㄨˊ,毋
ㄇㄟˇ,每
ㄉㄨˊ＊ㄉㄞˋ,毒
1.ㄅㄧˇ2.ㄅㄧˋ,比
ㄇㄠˊ,毛
ㄇㄠˋ,毣
ㄘㄨㄟˋ,毳
ㄊㄨㄛˋ,毻
ㄩˊ,毹
ㄇㄠˊ,氂
1.ㄕˋ2.ㄓ,氏
ㄉㄧ＊ㄉㄧˇ,氐
1.ㄇㄥˊ2.ㄇㄤˊ,氓
ㄑㄧˋ,气
ㄈㄣ,氛
ㄑㄧˋ,氣
ㄌㄩˋ,氯
ㄓㄥˇ,氶
ㄊㄧㄥ,汀
ㄓ,汁
ㄈㄢˋ,氾
ㄍㄨㄟˇ,氿
ㄆㄚˋ,汃
1.ㄘㄨㄢ2.ㄊㄨㄣˇ,汆
1.ㄏㄢˋ2.ㄏㄢˊ,汗
ㄨ,汙
ㄔˊ,池
ㄉㄞˋ,汏
ㄕㄢˋ,汕
ㄈㄢˋ,汎
ㄓㄨㄛˊ,汋
ㄍㄨㄥˇ,汞
ㄔㄣˊ,沉
ㄏㄤˋ,沆
ㄕㄣˇ,沈
ㄨㄣˋ,汶
ㄩㄣˊ,沄
ㄩㄢˊ,沅
ㄐㄩㄝˊ,決
ㄆㄟˋ,沛
ㄑㄧ,沏
1.ㄍㄨˇ2.ㄩˋ,汩
ㄔㄨㄥ,沖
ㄕㄚ,沙
1.ㄇㄛˋ2.ㄇㄟˊ,沒
ㄨˋ,沕
ㄨㄛˋ,沃
ㄉㄨㄣˋ,沌
ㄧˊ,沂
ㄊㄚˋ,沓
ㄑㄧㄢ,汧
1.ㄊㄨㄛˊ2.ㄉㄨㄛˋ,沱
ㄒㄩㄝˋ,泬
ㄓㄨˋ,注
ㄒㄩㄢˋ,泫
1.ㄇㄧˋ2.ㄅㄧˋ,泌
ㄆㄥ,泙
ㄇㄧㄣˇ＊ㄇㄧㄢˋ,泯
ㄧˊ,沶
ㄏㄨㄥˊ,泓
ㄈㄟˋ,沸
ㄇㄟˋ＊ㄏㄨㄟˋ,沬
1.ㄋㄧˊ2.ㄋㄧˋ,泥
1.ㄈㄚˇ2.ㄈㄚˊ,法
ㄍㄢ,泔
ㄍㄨ＊ㄍㄨˇ,沽
1.ㄒㄧㄝˋ2.ㄧˋ,泄
ㄌㄜˋ,泐
ㄩㄝˋ,泧
ㄅㄛ,波
ㄈㄨˊ,沷
1.ㄐㄩ2.ㄐㄩˇ3.ㄐㄩˋ,沮
ㄧㄤ,泱
ㄓㄢ,沾
ㄐㄩㄥˇ,泂
ㄈㄢˋ＊ㄈㄥˇ,泛
1.ㄓˋ2.ㄔˊ,治
1.ㄆㄠˋ2.ㄆㄠ,泡
ㄅㄛˊ,泊
ㄈㄨˊ,泭
ㄔˊ,泜
ㄧㄢˊ,沿
ㄒㄧㄠˊ,洨
ㄧˊ,洟
ㄏㄨㄢˊ,洹
1.ㄨㄚ2.ㄍㄨㄟ,洼
1.ㄒㄧˇ2.ㄒㄧㄢˇ3.ㄙㄚˇ4.ㄘㄨㄟˇ,洒
ㄨ,洿
ㄍㄨㄤ＊ㄏㄨㄤˇ,洸
1.ㄒㄧㄝˋ2.ㄧˋ,洩
1.ㄉㄨㄥˋ2.ㄊㄨㄥˊ,洞
1.ㄊㄠˊ2.ㄧㄠˊ,洮
ㄒㄩㄣˊ,洵
1.ㄒㄧˇ2.ㄒㄧㄢˇ,洗
ㄓㄨ,洙
ㄐㄧㄤˋ,洚
ㄈㄨˊ,洑
ㄓㄡ,洀
ㄖㄨˋ,洳
ㄑㄧㄚˋ,洽
ㄨㄢˇ,浣
ㄌㄤˋ,浪
ㄊㄧˋ,涕
ㄐㄧㄣˋ,浸
1.ㄊㄨㄣ2.ㄐㄩㄣ,涒
ㄙㄨˋ,涑
ㄒㄧㄠˋ,涍
ㄐㄧㄚˊ,浹
ㄧˋ,浥
ㄐㄩㄢ,涓
ㄕㄜˋ＊ㄉㄧㄝˊ,涉
ㄈㄨˊ,浮
ㄏㄠˋ,浩
ㄌㄧˋ,浰
ㄅㄤ,
1.ㄧㄡˊ2.ㄉㄧˊ,浟
ㄊㄨˊ,涂
ㄘㄨㄥˊ,淙
ㄍㄨㄢˋ,涫
ㄨㄛˋ,涴
ㄎㄨㄥ,涳
ㄌㄟˋ,淚
ㄔㄨㄣˊ,淳
1.ㄌㄧㄤˊ2.ㄌㄧㄤˋ,涼
ㄩ,淤
ㄧㄝˋ,液
1.ㄉㄢˋ2.ㄧㄢˇ,淡
ㄑㄧ,淒
ㄍㄨˇ,淈
ㄩˋ,淢
ㄉㄨㄥ,涷
ㄔˋ,淔
1.ㄑㄧㄢˇ2.ㄐㄧㄢ,淺
ㄌㄧㄣˊ,淋
ㄓㄨㄛˊ,涿
ㄧㄢ,淹
ㄊㄤˇ,淌
1.ㄏㄨㄣˋ2.ㄎㄨㄣ,混
1.ㄆㄧˋ2.ㄆㄟˋ,淠
ㄏㄜˊ,涸
ㄋㄠˋ,淖
ㄆㄧㄥˊ,淜
ㄓㄜˋ,淛
1.ㄋㄧㄢˇ2.ㄕㄣˇ,淰
ㄍㄢˋ,淦
ㄒㄧㄢˊ,涎
1.ㄏㄨㄣˊ2.ㄏㄨㄣˋ,渾
ㄧㄡˊ,游
ㄐㄧㄢ,湔
ㄍㄨㄟˇ,湀
ㄇㄧㄣˇ＊ㄇㄧㄢˋ＊ㄏㄨㄣ,湣
ㄑㄩˊ,渠
ㄧㄣ,湮
ㄒㄩˇ,湑
1.ㄓㄢˋ2.ㄉㄢ3.ㄓㄣˋ＊ㄔㄣˊ,湛
1.ㄒㄧㄝˋ2.ㄉㄧㄝˊ,渫
ㄍㄤˇ,港
ㄓㄚ,渣
1.ㄊㄤ2.ㄕㄤ,湯
ㄩˊ,湡
1.ㄎㄜˇ2.ㄏㄜˊ,渴
ㄏㄨㄥˊ,渱
ㄨㄟ,渨
1.ㄨㄛ2.ㄍㄨㄛ,渦
ㄖㄨㄛˋ,渃
ㄏㄨㄥ,渹
ㄉㄨㄥˋ,湩
ㄏㄨㄢˋ,渙
1.ㄐㄧㄡ2.ㄐㄧㄠˇ,湫
ㄈㄥˊ,渢
ㄆㄣˊ,湓
ㄍㄞˋ,溉
ㄍㄨㄟ,溈
ㄇㄧㄥˊ,溟
ㄏㄠˋ,滈
ㄌㄧㄢˊ,溓
ㄓㄚˋ,溠
ㄍㄡ,溝
ㄋㄧˋ＊ㄋㄧㄠˋ,溺
ㄆㄨˇ＊ㄈㄨ,溥
ㄎㄜˋ,溘
ㄉㄧㄢ,滇
1.ㄏㄨㄚˊ2.ㄍㄨˇ,滑
ㄨㄣ,溫
ㄨㄟˊ,溦
ㄓˋ,滍
ㄊㄠ,滔
ㄒㄧ,溪
ㄓㄨㄣˇ,準
1.ㄌㄧㄡˋ2.ㄌㄧㄡ,溜
ㄙㄡ,溲
1.ㄒㄧㄥˊ2.ㄧㄥˊ,滎
ㄎㄨㄛˋ,漷
ㄒㄩㄢˊ,漩
1.ㄓㄤˋ2.ㄓㄤˇ,漲
ㄌㄡˋ,漏
ㄌㄧㄢˊ,漣
ㄐㄧㄢˋ,漸
1.ㄡˋ2.ㄡ,漚
ㄘㄠˊ,漕
ㄕㄨˋ,漱
1.ㄆㄧㄠ2.ㄆㄧㄠˇ3.ㄆㄧㄠˋ,漂
ㄇㄢˇ,滿
ㄑㄧ,漆
ㄌㄧㄠˊ,漻
ㄌㄡˊ,漊
ㄇㄢˋ,漫
1.ㄊㄚˋ2.ㄌㄨㄛˋ,漯
ㄘㄨㄟˇ,漼
ㄕㄣˋ,滲
ㄘㄨㄥˊ,漎
ㄐㄧㄤ＊ㄐㄧㄤˋ,漿
ㄌㄧㄣˊ,潾
ㄌㄠˋ,澇
ㄐㄩㄝˊ,潏
1.ㄉㄥˋ2.ㄔㄥˊ,澄
ㄒㄧㄠ,潚
ㄒㄩㄣˋ,潠
ㄐㄧㄠ,澆
ㄕㄨˋ,澍
1.ㄆㄥ2.ㄆㄥˊ,澎
ㄍㄢˇ,澉
ㄊㄢˊ,潭
1.ㄈㄣˊ2.ㄆㄣ,濆
ㄙ,澌
ㄏㄨㄤˊ,潢
ㄑㄧㄢˊ,潛
1.ㄌㄠˇ2.ㄌㄧㄠˊ＊ㄌㄠˋ,潦
ㄉㄢˋ,潬
ㄎㄨㄟˋ,潰
ㄐㄧㄢˋ,澗
ㄆㄢ,潘
ㄉㄤˋ,潒
ㄔㄢˊ,澶
ㄩㄥ,澭
ㄏㄨㄢˇ,澣
1.ㄇㄧㄣˇ2.ㄕㄥˊ,澠
ㄍㄨㄛ,濄
ㄏㄨㄟˋ,濊
ㄗㄜˊ,澤
ㄏㄨㄢˊ,澴
1.ㄉㄢˋ2.ㄊㄢˊ,澹
ㄠˋ,澳
ㄎㄨㄞˋ,澮
ㄒㄩㄝˊ,澩
ㄋㄧㄥˋ,濘
1.ㄐㄧˇ2.ㄐㄧˋ,濟
ㄒㄧㄥˊ,濴
ㄖㄨˊ,濡
ㄐㄧㄣˋ,濜
ㄊㄠˊ,濤
ㄌㄢˋ,濫
ㄇㄧˇ,濔
ㄓㄨㄛˊ,濯
1.ㄒㄧˊ2.ㄕ,濕
ㄇㄥˊ,濛
ㄞˋ,濭
ㄏㄨㄛˋ,濩
ㄆㄧˋ,濞
ㄕㄣˇ,瀋
ㄒㄧㄝˋ,瀉
ㄅㄧㄠ,瀌
ㄧㄤˋ,瀁
ㄉㄨˊ＊ㄉㄡˋ,瀆
1.ㄐㄧㄢˋ2.ㄐㄧㄢ,濺
1.ㄆㄨˋ2.ㄅㄠˋ,瀑
ㄇㄧㄝˋ,瀎
ㄌㄨㄛˋ,濼
ㄑㄧㄣ,瀙
1.ㄌㄨㄥˊ2.ㄕㄨㄤ,瀧
ㄧㄥˊ,瀠
1.ㄉㄨㄟˋ2.ㄨㄟˇ,瀢
ㄅㄧㄣ,瀕
ㄖㄤˊ,瀼
ㄈㄣˋ,瀵
ㄇㄧˊ,瀰
ㄧˋ,瀷
ㄧㄥ,瀴
1.ㄌㄢˊ2.ㄌㄢˋ,瀾
ㄌㄧㄢˋ,瀲
ㄔㄢˊ,瀺
ㄩㄝˋ,瀹
1.ㄓㄨㄛˊ2.ㄐㄧㄠˋ,灂
ㄑㄧㄢˊ,灊
ㄩㄥ,灉
ㄙㄚˇ,灑
ㄌㄢˊ,灡
ㄐㄧㄡˇ,灸
ㄎㄤˋ,炕
ㄐㄩㄝˊ,炔
ㄔㄨㄟ,炊
ㄒㄧㄣ,炘
ㄐㄩㄥˇ,炅
ㄓˋ,炙
ㄧㄢˊ,炎
ㄓㄨˋ,炷
ㄓㄠˋ,炤
1.ㄆㄠˊ2.ㄆㄠˋ3.ㄅㄠ,炮
1.ㄓㄚˋ2.ㄓㄚˊ,炸
1.ㄨㄟˊ2.ㄨㄟˋ,為
ㄒㄩㄢˇ,烜
ㄨㄟ,烓
ㄏㄨㄥ,烘
1.ㄌㄨㄛˋ2.ㄌㄠˋ,烙
ㄓㄥ,烝
ㄒㄧㄠ,烋
ㄨ,烏
ㄐㄩㄣˋ,焌
ㄧㄢ,焉
ㄔㄨㄣˊ,焞
ㄎㄨㄣ,焜
ㄧㄢˋ,焰
ㄈㄣˊ,焚
1.ㄨˊ2.ㄇㄛˊ,無
ㄐㄧㄠ,焦
ㄧㄢˋ,焱
ㄏㄨㄟ,煇
ㄨㄟˇ,煒
ㄧㄢ,煙
ㄓㄚˊ,煠
ㄧㄤˊ,煬
ㄒㄧㄚˋ,煆
ㄏㄨㄤˊ,煌
ㄋㄨㄢˇ,煖
ㄕㄢˋ,煔
ㄐㄧㄢ,煎
ㄒㄩˇ,煦
1.ㄕㄚˋ2.ㄕㄚ,煞
ㄕㄢ,煽
ㄇㄧㄥˊ,熐
ㄏㄜˋ,熇
ㄩㄣˊ,熉
ㄩㄣˋ,熅
ㄒㄩㄣ,熏
ㄏㄢˋ,熯
ㄧˋ,熠
1.ㄩㄣˋ2.ㄩˋ,熨
ㄕㄡˊ,熟
ㄠˊ,熬
1.ㄉㄨㄣˋ2.ㄉㄨㄣ,燉
ㄌㄧㄣˊ,燐
ㄒㄩㄣˊ,燖
ㄕㄠ,燒
ㄑㄧㄢˊ,燂
ㄏㄨㄤˊ,熿
ㄌㄧㄠˊ,燎
ㄇㄣˋ,燜
1.ㄔㄢˇ2.ㄉㄢˇ,燀
ㄧㄝˋ,燁
ㄐㄧㄠ,燋
1.ㄧㄢˋ2.ㄧㄢ,燕
ㄧㄢˋ,燄
1.ㄗㄠˋ2.ㄙㄠˋ,燥
ㄩˋ,燠
ㄌㄢˋ,爁
ㄊㄠˊ,燾
ㄧㄠˋ,燿
ㄎㄨㄤˋ＊ㄏㄨㄤˇ,爌
ㄅㄠˋ,爆
ㄖㄜˋ,爇
ㄧㄢˋ,爓
ㄩㄝˋ,爚
ㄔㄨㄥˊ,爞
1.ㄓㄠˇ2.ㄓㄨㄚˇ,爪
ㄓㄥ,爭
ㄐㄩㄝˊ＊ㄑㄩㄝˋ,爵
1.ㄈㄨˋ2.ㄈㄨˇ,父
ㄉㄧㄝ,爹
ㄧㄠˊ,爻
1.ㄑㄧㄤˊ2.ㄅㄢˋ,爿
ㄆㄧㄢˋ,片
ㄊㄡˊ,牏
ㄔㄥ,牚
1.ㄇㄡˊ2.ㄇㄨˋ,牟
ㄇㄨˇ,牡
ㄊㄚ,牠
ㄑㄧㄢ,牽
ㄌㄧˊ,犁
ㄓˊ,犆
ㄐㄧ,犄
1.ㄐㄧㄢ2.ㄑㄧㄢˊ,犍
ㄅㄟˋ＊ㄈㄨˊ,犕
ㄌㄧˊ,犛
ㄅㄠˋ,犦
ㄒㄧ,犧
ㄢˋ,犴
ㄏㄨㄢ,犿
ㄧˊ,狋
ㄋㄧˇ,狔
ㄉㄢˋ,狚
ㄐㄩ,狙
ㄕㄥ,狌
ㄐㄩˋ,狊
ㄕㄡˋ,狩
ㄏㄣˇ,狠
ㄊㄨㄥˊ,狪
ㄌㄤˊ,狼
ㄅㄧˋ,狴
ㄒㄧ,狶
1.ㄧ2.ㄧˇ3.ㄜˇ,猗
ㄒㄧㄠ,猇
ㄧㄢˋ,猒
ㄅㄧㄢ,猵
ㄧㄡˊ,猶
ㄋㄠˊ,猱
ㄒㄧㄥ,猩
1.ㄒㄧㄝ2.ㄏㄜˋ,猲
ㄧㄚˋ,猰
ㄅㄛˊ,猼
ㄩㄢˊ,獂
ㄉㄞ,獃
ㄇㄢˋ,獌
ㄧㄠˋ,獟
ㄌㄧㄠˊ,獠
ㄍㄜˊ,獦
ㄐㄧㄠˋ,獥
ㄎㄨㄞˋ,獪
1.ㄋㄡˋ2.ㄖㄨˊ,獳
ㄏㄨㄛˋ,獲
ㄍㄨㄤˇ,獷
ㄋㄠˊ,獶
ㄊㄚˋ,獺
ㄒㄧㄢˋ,獻
ㄋㄠˊ,獿
1.ㄒㄩㄢˊ2.ㄗ,玆
1.ㄕㄨㄞˋ2.ㄌㄩˋ,率
1.ㄨㄤˊ2.ㄨㄤˋ,王
ㄩˋ,玉
ㄉㄧㄥ,玎
ㄨㄣˊ,玟
ㄨㄢˊ,玩
ㄆㄧㄣˊ,玭
ㄅㄧㄣ,玢
ㄉㄧㄢˋ,玷
ㄦˇ,珥
ㄘˇ,玼
ㄌㄤˊ,琅
ㄉㄧˋ,珶
ㄒㄩㄢˋ,琄
ㄔㄥˊ,珵
ㄒㄩㄢˊ,琁
ㄒㄧㄡˋ,琇
ㄏㄢˋ,琀
ㄘㄨㄥˊ,琮
ㄍㄨㄢˇ,琯
ㄔㄣ,琛
ㄓㄣ,瑊
1.ㄔㄤˋ2.ㄧㄤˊ,瑒
ㄇㄟˋ,瑁
ㄌㄤˊ,瑯
ㄘㄨㄛ,瑳
ㄊㄧㄢˋ,瑱
ㄑㄧㄤ,瑲
ㄧㄥˊ,瑩
ㄌㄧㄢˊ,璉
ㄐㄧㄣˇ,瑾
ㄘㄨㄥ,璁
ㄙㄨㄛˇ,璅
ㄌㄧㄣˊ,璘
ㄐㄩㄝˊ＊ㄑㄩㄥˊ,璚
ㄐㄧㄥˇ,璟
ㄅㄧㄣ,璸
ㄖㄨㄢˇ,瓀
ㄆㄠˊ,瓟
ㄏㄨˋ,瓠
ㄨㄚˇ,瓦
ㄉㄤˋ,瓽
ㄆㄡˇ,瓿
ㄓㄨㄟˋ,甀
ㄓㄣ,甄
ㄑㄧˋ,甈
ㄉㄢ,甔
ㄧㄢˇ,甗
1.ㄕㄣˋ2.ㄕㄣˊ,甚
ㄕㄥ,生
ㄈㄨˇ,甫
ㄋㄧㄥˋ＊ㄋㄧㄥˊ,甯
ㄊㄧㄢˊ＊ㄉㄧㄢˋ,田
ㄐㄧㄚˇ,甲
1.ㄊㄧㄥˇ2.ㄉㄧㄥ,町
ㄉㄧㄢˋ,甸
ㄇㄥˊ,甿
ㄑㄩㄢˇ,甽
ㄑㄩㄢˇ,畎
ㄩㄣˊ,畇
ㄊㄧㄢˊ,畋
ㄇㄨˇ,畝
ㄓㄣˇ,畛
1.ㄔㄨˋ2.ㄒㄩˋ,畜
ㄓˋ,畤
ㄑㄧˊ,畦
1.ㄈㄢ2.ㄆㄢ,番
1.ㄩˊ2.ㄕㄜ,畬
1.ㄉㄤ2.ㄉㄤˋ＊ㄉㄤˇ,當
ㄐㄧ,畿
ㄐㄧㄤ,疆
ㄉㄧㄝˊ,疊
ㄕㄨ＊ㄆㄧˇ＊ㄧㄚˇ,疋
ㄕㄨ,疏
ㄓˋ,疐
ㄅㄧˇ,疕
ㄕㄢˋ,疝
ㄍㄜ,疙
ㄐㄩ,疽
ㄉㄢˇ,疸
ㄉㄧㄢˋ,痁
ㄊㄥˊ,疼
ㄓㄣˇ,疹
ㄐㄧㄝ,痎
ㄧㄤˇ,痒
ㄘ,疵
ㄊㄨㄛ,痑
ㄆㄨ,痡
ㄆㄧˇ,痞
ㄇㄟˋ,痗
ㄍㄨㄢˇ,痯
ㄩ,瘀
ㄜ,痾
ㄉㄧㄢˇ,痶
ㄔ,痴
ㄈㄟˋ,痱
ㄨㄟˇ,痿
1.ㄅㄧˋ2.ㄅㄟ,痺
ㄌㄧㄣˊ,痳
ㄌㄚˋ,瘌
ㄐㄧㄚˇ,瘕
ㄍㄨㄛ,瘑
ㄋㄩㄝˋ,瘧
ㄩˋ,瘉
1.ㄐㄧˋ2.ㄑㄧˋ,瘈
ㄔㄞˋ,瘥
ㄐㄧˊ,瘠
ㄙㄠ,瘙
ㄏㄨㄟˋ,瘣
ㄌㄡˋ,
ㄌㄠˊ,癆
ㄌㄧㄠˊ,療
1.ㄉㄢˋ2.ㄉㄢ,癉
ㄞˊ,癌
ㄐㄧㄝˊ,癤
ㄨㄟ,癐
ㄐㄧˋ,癠
ㄅㄧㄝˇ,癟
ㄌㄞˋ,癩
ㄒㄧㄢˇ,癬
ㄅㄚˊ,癹
ㄈㄚ,發
ㄉㄥ,登
ㄅㄞˊ,白
1.ㄅㄞˇ2.ㄅㄛˊ,百
ㄒㄧㄤ,
1.ㄉㄧˋ2.ㄉㄧˊ3.˙ㄉㄜ,的
ㄏㄨㄤˊ,皇
ㄍㄠ,皋
ㄨㄢˇ,皖
ㄒㄧㄠˋ,皛
ㄐㄧㄠˋ,皭
ㄍㄢˇ,皯
ㄑㄩㄝˋ,皵
ㄓㄢˇ,皽
ㄇㄧㄣˇ,皿
ㄓㄨㄥ,盅
ㄧˋ,益
ㄏㄜˊ,盉
ㄨ,盓
1.ㄕㄥˋ2.ㄔㄥˊ,盛
ㄇㄥˊ＊ㄇㄥˋ,盟
ㄐㄧㄣˋ,盡
1.ㄐㄧㄢ2.ㄐㄧㄢˋ,監
ㄍㄨㄢˋ,盥
ㄉㄤˋ,盪
1.ㄉㄧㄥ2.ㄔㄥ,盯
ㄇㄤˊ,盲
ㄉㄢ,眈
ㄩㄣˊ,眃
ㄇㄧㄢˇ,眄
ㄇㄧㄠˇ＊ㄇㄧㄠˋ,眇
ㄒㄩㄢˊ,盷
ㄇㄠˋ,眊
ㄉㄨㄣˇ,盹
ㄒㄧˋ,盻
1.ㄕㄥˇ2.ㄒㄧㄥˇ,省
1.ㄎㄢˋ2.ㄎㄢ,看
ㄉㄨㄣˋ,盾
1.ㄒㄧㄤ2.ㄒㄧㄤˋ,相
ㄒㄩㄢˋ,眩
ㄇㄧㄢˊ＊ㄇㄧㄢˋ,眠
ㄕㄣ,眒
1.ㄔˋ2.ㄧˊ,眙
ㄧㄠˇ,眑
ㄩㄢ,眢
1.ㄇㄧˇ2.ㄇㄧ,眯
ㄎㄨㄤ,眶
ㄧˊ,眱
ㄧㄢˇ,眼
ㄙㄨㄟ,眭
ㄋㄜˋ,眲
ㄇㄧㄥˊ,眳
ㄒㄩㄢˋ,眴
ㄇㄛˋ,眽
ㄗˋ,眥
ㄓㄨㄥˋ,眾
ㄉㄧˋ,睇
ㄨㄢˇ,睕
ㄧㄞˊ,睚
ㄙㄨㄟ,睢
1.ㄧˋ2.ㄍㄠ,睪
ㄎㄨㄟˊ,睽
ㄊㄧˊ,睼
ㄇㄠˋ,瞀
ㄍㄠ,睾
1.ㄇㄧㄥˊ2.ㄇㄧㄢˋ＊ㄇㄧㄢˊ,瞑
ㄇㄧ,瞇
ㄙㄡˇ,瞍
ㄑㄩㄥˊ,瞏
ㄆㄧㄠˇ,瞟
ㄇㄢˊ,瞞
ㄌㄡ,瞜
ㄇㄥˊ＊ㄇㄥˋ,瞢
ㄌㄧㄣˊ,瞵
ㄉㄥˋ,瞪
ㄕㄣˇ,瞫
1.ㄌㄧㄠˇ2.ㄌㄧㄠˋ,瞭
ㄍㄨㄟˋ,瞶
1.ㄑㄩˊ2.ㄐㄩˋ,瞿
ㄆㄧㄣˊ,矉
1.ㄇㄥˊ2.ㄇㄥ,矇
ㄎㄨㄤˋ,矌
ㄒㄩㄢ,矎
ㄏㄨㄛˋ,矐
ㄍㄨㄢˋ,矔
ㄇㄢˇ,矕
ㄐㄧㄣ＊ㄍㄨㄢ,矜
ㄩˋ＊ㄐㄩㄝˊ,矞
1.ㄘㄜˋ2.ㄗㄜˊ,矠
ㄓ＊ㄓˋ,知
ㄏㄨㄛˋ,矱
1.ㄕˊ2.ㄉㄢˋ,石
ㄍㄢ,矸
1.ㄑㄧㄤ2.ㄐㄧㄤ,矼
ㄎㄨˋ,矻
ㄊㄨㄛ,矺
1.ㄑㄧˋ2.ㄑㄧㄝˋ,砌
ㄅㄧㄣ,砏
ㄐㄧㄝˋ,砎
ㄏㄨㄛˋ,砉
ㄧㄢˊ＊ㄧㄢˋ,研
ㄓㄨˋ,砫
ㄆㄥ,砰
ㄌㄨㄛˇ,砢
ㄈㄚˇ,砝
ㄐㄩ,砠
ㄅㄧㄢ,砭
ㄓㄚˋ,砟
ㄉㄧˇ,砥
ㄋㄨˇ,砮
ㄒㄧㄥˊ,硎
ㄎㄥ,硍
ㄨㄟˇ,硊
1.ㄍㄜˋ2.ㄌㄨㄛˋ,硌
ㄌㄤˊ,硠
ㄎㄥ,硜
ㄒㄧㄠ,硝
ㄜˊ,硪
ㄑㄩㄝˋ,确
ㄕㄚ,硰
ㄔㄜˋ,硩
ㄑㄧˊ,碕
ㄆㄥˊ,硼
ㄌㄨˋ,碌
ㄉㄨㄟˋ＊ㄉㄨㄟ,碓
ㄅㄛ,碆
ㄓㄣ,碪
ㄉㄧㄝˊ,碟
ㄕㄨㄛˋ,碩
ㄉㄤˋ,碭
ㄐㄧㄝˊ,碣
ㄨㄟ,碨
ㄓㄨㄟˋ＊ㄔㄨㄟˊ,硾
ㄐㄧㄚˊ,磍
1.ㄅㄤˋ2.ㄆㄤ,磅
ㄑㄩㄝˋ,碻
ㄘㄨㄛ,磋
ㄋㄧㄢˇ,碾
ㄎㄜ,磕
ㄊㄧㄢˊ,磌
ㄨㄟˋ,磑
ㄎㄨㄟˇ,磈
ㄙ,磃
ㄠˊ,磝
ㄘㄨㄟ,磪
1.ㄇㄛˊ2.ㄇㄛˋ,磨
ㄌㄧㄣˊ,磷
ㄗㄥ,磳
ㄉㄥˋ,磴
ㄑㄧㄠ,磽
1.ㄆㄢˊ2.ㄅㄛ,磻
ㄌㄟˋ,礌
1.ㄏㄜˊ2.ㄑㄧㄠˋ,礉
ㄑㄩㄝˋ,礐
ㄐㄧㄢ,礛
ㄩˋ,礜
ㄎㄨㄤˋ,礦
ㄒㄧㄢˊ,礥
ㄌㄟˊ＊ㄌㄟˇ,礧
