ㄧ,一
1.ㄧㄢ2.ㄧㄝˋ＊ㄧㄢˋ,咽
ㄎㄨㄞ,咼
ㄊㄠˊ,咷
1.ㄉㄨㄛ2.ㄔㄜˇ,哆
ㄏㄨㄚˋ,咶
ㄒㄩㄥ,哅
1.˙ㄌㄛ2.ㄍㄜ3.ㄎㄚˇ＊ㄍㄜˊ,咯
1.ㄧㄠˇ2.ㄐㄧㄠ,咬
1.ㄗㄢˊ2.ㄗㄚˊ,咱
1.ㄒㄧㄡ2.ㄒㄩˇ,咻
1.ㄏㄚ2.ㄏㄚˇ3.ㄎㄚ,哈
1.ㄓㄣ2.ㄔㄨㄣˊ,唇
ㄎㄜˇ,哿
ㄏㄥ,哼
ㄌㄨㄥˋ,哢
ㄅㄨˇ,哺
ㄨˊ,唔
ㄒㄧㄠ,哮
1.ㄋㄚˇ2.˙ㄋㄚ3.ㄋㄨㄛˊ,哪
ㄕㄠˋ,哨
1.ㄌㄧ2.ㄌㄧˇ,哩
1.ㄩㄢˊ2.ㄩㄣˊ,員
ㄧˋ,唈
1.ㄜˊ2.ㄛˊ,哦
1.ㄏㄢ2.ㄏㄢˊ,唅
ㄐㄧˊ,唧
1.ㄕㄚˋ2.ㄑㄧㄝˋ,唼
ㄊㄨㄣ,啍
ㄘㄨㄟˋ,啐
ㄐㄧㄝˊ＊ㄕㄚˋ,啑
ㄈㄥˇ,唪
1.ㄧㄚˇ2.ㄧㄚ,啞
1.ㄐㄧㄝˋ2.ㄗㄜˋ,唶
1.ㄚ2.˙ㄚ,啊
1.ㄌㄚ2.˙ㄌㄚ,啦
ㄓㄨㄛˊ,啄
ㄏㄨˇ,唬
ㄎㄣˇ,啃
ㄓㄡ,啁
ㄨㄟˊ,唯
ㄦˊ,唲
ㄋㄧㄢˋ,唸
ㄔˋ,啻
ㄒㄧˇ,喜
1.ㄙㄤ2.ㄙㄤˋ,喪
ㄒㄩㄢ,喧
ㄎㄚ,喀
ㄧㄣ,喑
ㄔ,喫
1.ㄨㄛˋ2.ㄛ,喔
ㄌㄚˇ,喇
ㄉㄧㄝˊ,喋
ㄓㄚ,喳
1.ㄩˊ2.ㄩㄥˊ,喁
1.ㄏㄜ2.ㄏㄜˋ,喝
1.ㄉㄢ2.ㄕㄢˋ3.ㄔㄢˊ,單
ㄎㄨㄟˋ,喟
1.ㄖㄜˇ2.ㄋㄨㄛˋ,喏
ㄏㄨㄤˊ,喤
1.ㄗㄢˊ2.ㄗㄚˊ,喒
ㄧㄠ,喲
ㄩˋ,喻
ㄑㄧㄠˊ,喬
ㄊㄨㄛˋ,唾
ㄏㄜˋ,嗃
ㄑㄧㄢˇ＊ㄑㄧㄢ＊ㄑㄧㄢˋ,嗛
ㄐㄧㄝ,嗟
ㄧˋ,嗌
1.ㄇㄚˇ2.˙ㄇㄚ,嗎
1.ㄎㄜˋ2.ㄏㄜˊ,嗑
ㄔㄣ,嗔
ㄕㄚˋ,嗄
ㄑㄧㄤˋ,嗆
1.ㄇㄚˊ2.˙ㄇㄚ,嘛
ㄐㄧㄚ,嘉
ㄍㄨˇ,嘏
ㄙㄡˇ,嗾
ㄙㄡˋ,嗽
1.ㄡˇ2.ㄡ3.ㄡˋ,嘔
ㄍㄚ,嘎
ㄑㄧ,嘁
ㄌㄡˊ,嘍
ㄏㄨ,
ㄘㄥ,噌
ㄒㄧㄠˋ,嘯
ㄒㄩㄣˋ,噀
ㄧㄝ,噎
ㄜˇ,噁
ㄔㄠˊ,嘲
ㄏㄟ＊ㄇㄛˋ,嘿
ㄗㄨㄛ,嘬
1.ㄊㄢ2.ㄔㄢˇ,嘽
ㄎㄨㄟˋ,嘳
ㄒㄩ,噓
ㄏㄨㄚ＊ㄏㄨㄚˊ,嘩
ㄈㄨˇ,嘸
1.ㄆㄣ2.ㄆㄣˋ3.˙ㄈㄣ,噴
ㄧˋ,噫
1.ㄉㄤ2.ㄉㄧㄤ,噹
ㄋㄨㄥˊ,噥
1.ㄐㄩㄝˊ2.ㄒㄩㄝ,噱
1.ㄩㄝ2.ㄏㄨㄟˋ,噦
ㄍㄜˊ,噶
ㄓㄡˋ＊ㄓㄨㄛˊ,噣
ㄞˋ,噯
1.ㄐㄧㄠˋ2.ㄑㄧㄠˋ,噭
ㄩˇ,噢
ㄧㄢˇ,噞
ㄐㄧˋ,嚌
1.ㄏㄜˋ2.ㄒㄧㄚˋ,嚇
ㄏㄨㄛˋ,嚄
1.ㄇㄛˋ2.˙ㄇㄜ,嚜
ㄒㄧㄤˋ,嚮
ㄖㄤˇ,嚷
ㄧㄢˊ,嚴
1.ㄐㄧㄠˊ2.ㄐㄩㄝˊ,嚼
ㄋㄧㄝˋ,囁
ㄒㄧㄠ,囂
1.ㄌㄨㄛˊ2.ㄌㄨㄛ,囉
ㄗㄢˋ,囋
ㄐㄧㄢˇ,囝
1.ㄉㄨㄣˋ2.ㄊㄨㄣˊ,囤
ㄧㄡˊ,囮
1.ㄘㄨㄥ2.ㄔㄨㄤ,囪
ㄧㄡˋ,囿
ㄏㄨㄣˋ,圂
1.ㄑㄩㄢ2.ㄐㄩㄢˋ,圈
ㄩˇ,圉
ㄔㄨㄟˊ＊ㄊㄨㄢˊ,圌
1.ㄩㄢˊ2.ㄏㄨㄢˊ,圜
ㄊㄨˇ,土
ㄩˊ,圩
1.ㄉㄧˋ2.˙ㄉㄜ,地
ㄗㄨㄣˋ,圳
ㄗㄞˋ,在
1.ㄈㄤ2.ㄈㄤˊ,坊
ㄆㄟˊ,坏
ㄐㄩㄣ＊ㄩㄣˋ,均
ㄙㄜˋ,圾
ㄑㄧˊ,圻
ㄎㄜˇ,坷
ㄆㄟ,坯
ㄧㄤˇ,坱
ㄉㄧㄢˋ,坫
1.ㄔˊ2.ㄉㄧˇ,坻
ㄠ,坳
1.ㄉㄨㄛˇ2.ㄉㄨㄛˋ,垛
ㄍㄨㄟˇ,垝
ㄆㄨˇ,埔
1.ㄇㄞˊ2.ㄇㄢˊ,埋
1.ㄧㄢˊ2.ㄕㄢ,埏
1.ㄆㄟˊ2.ㄆㄡˇ,培
1.ㄙㄠˇ2.ㄙㄠˋ,埽
1.ㄐㄩˋ2.ㄅㄚˋ,埧
1.ㄅㄥˋ2.ㄆㄥˊ,堋
ㄉㄨㄟ,堆
ㄅㄨˋ,埠
1.ㄆㄧˊ2.ㄅㄟ3.ㄅㄧˋ,埤
1.ㄕˋ2.ㄧˋ,埶
ㄐㄧㄣˇ,堇
1.ㄉㄨˇ2.ㄓㄜˇ,堵
ㄅㄠˋ,報
ㄊㄧˊ,堤
ㄔㄤˇ,場
ㄜˋ,堨
ㄅㄠˇ,堡
ㄐㄧˋ,塈
1.ㄙㄜˋ2.ㄙㄞˋ3.ㄙㄞ,塞
ㄊㄧㄢˊ,填
ㄨˋ,塢
ㄩㄥ,墉
ㄉㄧㄢˋ,墊
ㄐㄧㄣˇ,墐
ㄉㄧㄝˊ,墆
ㄗㄥ,增
ㄈㄣˊ,墳
ㄉㄨㄛˋ＊ㄏㄨㄟ,墮
ㄩㄥ,壅
ㄅㄧˋ,壁
ㄊㄢˊ,壇
ㄒㄩㄣ,壎
1.ㄌㄟˇ2.ㄌㄩˋ,壘
ㄏㄨㄞˋ,壞
1.ㄒㄧㄚˋ2.ㄐㄧㄚˇ,夏
ㄉㄨㄛ,多
ㄧㄝˋ,夜
ㄇㄥˋ,夢
1.ㄉㄚˋ2.ㄉㄞˋ＊ㄊㄞˋ,大
1.ㄈㄨ2.ㄈㄨˊ,夫
ㄊㄞˋ,太
ㄧㄠ,夭
ㄧㄤ,央
ㄕ,失
ㄐㄧㄚˊ,夾
ㄅㄣ,奔
ㄈㄥˋ＊ㄆㄥˇ,奉
1.ㄑㄧˊ2.ㄐㄧ,奇
1.ㄧㄢˇ2.ㄧㄢ,奄
